Sentences,Tags
administered infusion pump standardised protocol initial dose 1 mu/minute incremental increases 30 minutes maximum 12 mu/ minute,Not Relevant to the Evidence (Label N)
fetal outcome analysis,Not Relevant to the Evidence (Label N)
participants individuals chest pain 12 duration st-segment elevation 01 mv contiguous leads initially randomised primary pci deferred strategy stent implantation mechanical postconditioning versus conventional treatment consisting conventional primary pci appendix 4,Population/Problem (element P)
outcome measures infant behavioral heart rate heart rate variability hrv indices including low frequency lf frequency hf power lf/hf ratio measured baseline heel warming heel stick recovery periods kc ic conditions,Outcome (element O)
30 60 heel lance infants maternal kc displayed lower scores premature infant pain profile paternal kc 30 difference 1435 95% confidence interval 0232-263260secondsmeandifference154895%confidenceinterval0069-3027at90and120secondsthere differences,Outcome (element O)
primary endpoints adverse cardiac events including death heart failure sudden/arrhythmic cardiac death hospitalization worsening heart failure,Outcome (element O)
women uterine scar parity 3 heart disease antepartum haemorrhage severe hypertension excluded,Population/Problem (element P)
properties misoprostol agent induction labour settings prostaglandin 2 lack availability lack facilities storage financial constraints,Not Relevant to the Evidence (Label N)
studied safety efficiency transplantation bone marrow mononuclear cells bmmc patients acute myocardial infarc-tion ami evaluated bmmc trans-plantation reparative regeneration ami,Population/Problem (element P)
signicant rise plasma carnitine levels carnitine placebo,Outcome (element O)
< 05 considered statistically,Not Relevant to the Evidence (Label N)
conclusion oral misoprostol option women wishing actively managed prelabour rupture membranes term,Outcome (element O)
bone marrow cell infusion improvement myocardial viability 3 months ami multivariate analysis including major post-mi prognostic factors strong trend improvement univariate analysis,Outcome (element O)
study methods double-blind randomized trial 126 women received misoprostol 50 orally 3 hours vaginally 6 hours induction labor,Intervention and Comparison (element I and C)
slow responders received 2 additional abve-pc cycles 21 gy radiation,Intervention and Comparison (element I and C)
patienten der kooperativen therpiestudie zur behandlung von kindern mit akuter lymphatischer leuk mie coall 92 wurden 178 patienten randomisiert um einem therapeutischen fenster 36 / 2 dnr als 1-h 85 patienten oder 24-h 93 patienten infusion zu erhalten,Intervention and Comparison (element I and C)
cyclophosphamide 600 mg/m methotrexate40 mg/m uorouracil 600 mg/m days 1 8 4 weeks cycles,Intervention and Comparison (element I and C)
criteria exclusion distant metastases pregnancy severe hypertension cardiac disease including cardiac failure degree arrhythmia requiring regular medication myocardial infarction previous 12 months,Population/Problem (element P)
blood pressure reduction reduction arteriolar narrowing widening arteriolar branch angle increase arteriolar density,Outcome (element O)
regimens consisted doxorubicin 60 mg/m2 cyclophosphamide 600 mg/m2 21 days cycles paclitaxel 175 mg/m2 3 weeks cycles arm 1 chemotherapy weekly trastuzumab starting rst dose paclitaxel loading dose 4 mg/kg 2 mg/kg 51 weeks arm 2,Intervention and Comparison (element I and C)
bmncs insignificantly dysfunctional segments improvement contractile function compared control,Outcome (element O)
patient received oral tablet 3 hours vaginal tablet 6 hours administered concurrently oral tablet maximum 48 hours,Intervention and Comparison (element I and C)
die autoren verweisen mit recht auf die bedeutung der auswahl des richtigen einleitungsregimes,Not Relevant to the Evidence (Label N)
percutaneous coronary intervention prevented backflow cells time produced stop-flow site balloon inflation facilitate high-pressure infusion cells infarcted zone,Outcome (element O)
patients coronary heart disease identied practice computer systems recruited randomized 21 intervention control,Population/Problem (element P)
protocol violations,Not Relevant to the Evidence (Label N)
study describes effects secondary urinary albumin excretion endothelial function inflammatory activity,Population/Problem (element P)
chemotherapy drug metastatic disease allowed lapatinib trial trial vast majority patients started capecitabine second-line chemotherapy metastatic disease,Intervention and Comparison (element I and C)
previous inclusion study contrapatients treated heparin perioperatively lateral bypass earlier ipsilateral simdosage type administration standardised,Intervention and Comparison (element I and C)
neonatal evaluation pediatrician,Not Relevant to the Evidence (Label N)
0 5 mg/kg atracurium facilitate tracheal intubation maintain neuromuscular blockade monitored train-of-four stimulation peripheral nerve stimulator,Intervention and Comparison (element I and C)
low-dose oral misoprostol leads induction delivery intervals oral route fewer contractile fetal heart rate abnormalities,Outcome (element O)
tachysystole occurs commonly dose reflect cumulative drug,Not Relevant to the Evidence (Label N)
patients stenotic valvular disease restrictive hypertrophic cardiomyopathy uncontrolled atrial brillation heart rate,Population/Problem (element P)
agencies funding health care provide indemnity,Not Relevant to the Evidence (Label N)
3 conditions lf/hf ratio decreased baseline heel stick increased recovery differences ic kc conditions,Outcome (element O)
patients methods high-risk node-negative low-risk node-positive breast cancer patients received ac arm concurrently ac doxorubicin 54 mg/m2 cyclophosphamide 12 g/m2 intravenously iv 3 weeks cycles arm ii sequence 3 doxorubicin 405 mg/m2 iv days 1 2 3 weeks cyles cyclophosphamide 24 gm/m2 iv 2 weeks cycles,Population/Problem (element P)
control practices provided usual care,Intervention and Comparison (element I and C)
male female patients 18 age chf eligible enrollment received ace inhibitor therapy 4 weeks stable york heart association nyha class ii-iv heart failure left ventricular ejection fraction lvef 35%,Population/Problem (element P)
excluded patients serum creatinine 25 mg/dl <6 weeks myocardial infarction stroke coagulation bleeding disorders receiving warfarin therapy oral anticoagulation withheld,Population/Problem (element P)
weaknesses study,Not Relevant to the Evidence (Label N)
rcog 2001 br obstet gynaecol 108,Not Relevant to the Evidence (Label N)
women oxytocin delivered vaginally 12 hours difference delivered vaginally 24 hours,Intervention and Comparison (element I and C)
arterial hypertension defined untreated systolic blood pressure 130 mm hg diastolic blood pressure 85 mm hg antihypertensive therapy attain systolic diastolic blood pressure levels,Population/Problem (element P)
200 oral misoprostol 6 hours effective interval induction vaginal delivery 12 49 7 73 hours 38 7% tachysystole 44 1% hyperstimulation syndrome,Outcome (element O)
addition fine study gabapentin rat hippocampus neocortex result suggested gabapentin selectively inhibits clinical trials 29,Outcome (element O)
patients history malignancy completely excised situ carcinoma cervix basal carcinoma skin inammatory breast cancer cardiac disease medical illness inability comply treatment plan follow-up visits eligible,Population/Problem (element P)
patients prior myocardial infarction chf cardiomyopathy excluded,Population/Problem (element P)
study suggests advantages cardiovascular drugs control transient autonomic responses surgery ambulatory setting,Outcome (element O)
patient labor bishop score calculated,Not Relevant to the Evidence (Label N)
determine dexrazoxane decreases doxorubicin-associated injury cardiomyocytes randomly assigned 101 children receive doxorubicin 30 square meter body-surface weeks 10 doses 105 receive dexrazoxane 300 square meter doxorubicin,Intervention and Comparison (element I and C)
risk ratios rr 95% confidence intervals cis calculated,Not Relevant to the Evidence (Label N)
excluded patients residual myocardial ischemia severe ventricular arrhythmias atrio-ventricular block valvular disease requiring surgery pericarditis severe renal dysfunction,Population/Problem (element P)
subset patients receiving medication study entry represent subset patients severe heart failure ross score signicantly table 2,Population/Problem (element P)
maternal demographic data table 1,Not Relevant to the Evidence (Label N)
delay bmc preparation intracoronary injection total 122 patients reperfused stemi pci stent implantation 24 onset chest pain written informed consent enrolled study,Population/Problem (element P)
primary endpoint-improvement myocardial viability-was defined gain 2/17 viable segments 3 months stemi assessed resting 4 thallium-201-gated-spect,Intervention and Comparison (element I and C)
femoral difference bleeding vascular complications patients vascular closure devices online table 1,Outcome (element O)
samples derived selection procedure cell viability measured propidium iodide staining flow cytometry,Intervention and Comparison (element I and C)
studies culminated meta-analysis attesting misoprostols labor induction,Not Relevant to the Evidence (Label N)
received oral misoprostol 75 lg half fourth 100-lg tablet 4-hour intervals progressive labor defined regular uterine contractions cervical change contraction frequency 10 minutes nonreassuring fetal heart rate tracing delivery occurred,Intervention and Comparison (element I and C)
successful catheterization achieved 494 965% 512 patients transradial 511 patients 998% 512 patients transfemoral 00001,Outcome (element O)
assuming true difference treatments 0 2% observed termination trial probability rejected hypothesis difference treatments trial continued completion 0 024,Not Relevant to the Evidence (Label N)
allocation oral misoprostol 20 2 hours increased 40 depending uterine contractions vaginal dinoprostone 2 6 hours contained sealed opaque consecutively numbered envelope,Intervention and Comparison (element I and C)
major finding study aliskiren 300 monotherapy superior hydrochlorothiazide 25 monotherapy lowering bp,Outcome (element O)
observed women oxytocin receiving doses misoprostol 71% oxytocin 4-6 misoprostol rest 6 women oxytocin 4 doses misoprostol 72% required 6 doses misoprostol increased proportion women oxytocin augmentation interval 6 increased,Outcome (element O)
aim compare non-fatal myocardial infarction fatal chd combinations atenolol thiazide versus amlodipine perindopril,Population/Problem (element P)
antiarrhythmic drug preferentially administered amiodarone,Intervention and Comparison (element I and C)
data sd % median range,Not Relevant to the Evidence (Label N)
maternal demographic characteristics women ruptured membranes 3 hours versus 3 hours compared combined misoprostol versus placebo study table 1,Intervention and Comparison (element I and C)
seventy-eight patients acute myocardial infarction health organization criteria 12 hours onset continuous chest pain enrolled study underwent emergency angiography angioplasty november 2002 2003,Population/Problem (element P)
lvef tended increase treatment percentage change baseline patients eprosartan placebo table ii,Outcome (element O)
1 4% newborn required resuscitation birth,Not Relevant to the Evidence (Label N)
lie presentation position fetus recorded,Not Relevant to the Evidence (Label N)
cervical ripening performed antepartum unit adjacent labor suite continuous fetal heart rate uterine activity monitored patients,Intervention and Comparison (element I and C)
study 1 80-min study 18 tested 80 min kc heel stick procedure versus incubator care,Intervention and Comparison (element I and C)
march 1999 march 2001 enrolled 2028 patients symptomatic heart failure left-ventricular ejection fraction 40% receiving ace inhibitors previous intolerance,Population/Problem (element P)
postmenopausal women aged 50-75 mild moderate hypertension sbp 140 mm hg dbp <110 mm hg pulse pressure 50 mm hg eligible enrollment,Population/Problem (element P)
patients entered 4-week placebo run-in washout period previous antihypertensive drugs tapered 2 weeks,Intervention and Comparison (element I and C)
reported favorable preliminary b-blocker treatment infants severe congestive heart failure left-to-right shunts 11,Population/Problem (element P)
larger study warfarin anti-platelet trial chronic heart failure watch comparing warfarin target inr 30 aspirin 160 mg/day clopidogrel 75 mg/day report soon23 clopidogrel exerts antithrombotic effects platelet adp receptors direct prostaglandin synthesis24 comparison aspirin clopidogrel patient population benet reducing platelet aggregation separated potential adverse effects aspirin vascular wall prostaglandin synthesis,Intervention and Comparison (element I and C)
schwere komplikationen wie eine uterusruptur oder perinatale todesf lle traten beiden gruppen nicht auf,Not Relevant to the Evidence (Label N)
gen-coated heparin-bonded dacron hbd prostheses ptfe grafts patients undergoing elective ak reconstructions undergoing bk reconstructions saphenous vein available13 details patients methods preoperative assessments randomization follow-up sample size trial statistical analysis interim paper13 summarized,Population/Problem (element P)
seventy-six women 47 5% randomly assigned misoprostol required oxytocin augmentation labor,Intervention and Comparison (element I and C)
differences maternal demographic characteristics 66 7% active 67 7% conservative primiparous table 1,Not Relevant to the Evidence (Label N)
difference proportion women underwent cesarean delivery 20 1% misoprostol 19 9% oxytocin,Intervention and Comparison (element I and C)
2 demographic characteristics including -blockers ace inhibitors angiotensin type 1 antagonists table 1,Population/Problem (element P)
addition long-term treatment aliskiren-based therapy optional addition amlodipine provided bp reductions hydrochlorothiazide-based therapy,Outcome (element O)
aim study compare effects patency externally supported thin wall knitted polyester p-exs externally unsupported thin wall knitted polyester p-non-exs ak femoro-popliteal bypass grafting,Intervention and Comparison (element I and C)
6-week intensive ccr program planned including patient education 12 exercise training sessions dietary counseling smoking cessation psychosocial support risk factor management clinical assessment,Intervention and Comparison (element I and C)
aggressive ldl-c lowering mechanisms event reduction statin treatment acs,Outcome (element O)
methods patients aged 18-80 entered 4-week placebo run-in washout period previous antihypertensive drugs tapered 2 weeks,Intervention and Comparison (element I and C)
treatment schedule int-0137 schematically doxorubicin blue cyclophosphamide yellow,Intervention and Comparison (element I and C)
adverse effects mother baby observed,Not Relevant to the Evidence (Label N)
criteria exclusion previous ipsilateral femoropopliteal procedures contra-indication acetyl salicylic acid anticoagulants patients receiving chemoor radiotherapy malignancy diagnosed treated 12 months allergy iodine contrast medium impaired renal function,Population/Problem (element P)
patients received cardiovascular risk factor management counseling week invited join monthly support family,Intervention and Comparison (element I and C)
infants mothers spoke english,Population/Problem (element P)
evaluated healthy patients aged 20-60,Population/Problem (element P)
addition fewer patients undelivered 24 rupture membranes delivery interval reduced,Outcome (element O)
median lv mass score fell signicantly 001 07 sd bolus patients 05 sd continuous-infusion patients study period table 4 signicantly normal table 3,Outcome (element O)
weeks 18 25 patients reduce on-site exercise 1 session 2 weeks,Intervention and Comparison (element I and C)
women misoprostol pge 2 abdominal delivery failure cervical ripening inducing agents,Intervention and Comparison (element I and C)
primary endpoint trial disease-free survival dened time randomisation rst occurrence events recurrence breast cancer site development ipsilateral contralateral breast cancer including ductal carcinoma situ lobular carcinoma situ nonbreast malignant disease basal cell squamous cell carcinoma skin carcinoma situ cervix death documentation cancer-related event eect trastuzumab endpoint previously8 survival secondary endpoint secondary ecacy endpoints included time recurrence time distant recurrence safety including cardiac safety,Outcome (element O)
plaque regression aggressive ldl-c lowering attributable acute statins acs independent baseline ldl-c level,Outcome (element O)
designed study detect 33% reduction cesarean deliveries baseline estimated incidence,Not Relevant to the Evidence (Label N)
reduction prom 24 reduced baby swabs babies requiring special care baby unit scbu admission observation prolonged leaking,Not Relevant to the Evidence (Label N)
digoxin diuretic treated infants unchanged heart rate 14968 148610 beats / min decrease symptoms ross score 85617 68623 p5002 signicant increase renin levels 1396102 9386607 mu / p50001,Outcome (element O)
median time interval initiation labor induction vaginal delivery women vaginal 5 hour sooner median time oral p=0 01,Intervention and Comparison (element I and C)
suggests benefits topical anesthesia upper airway achieved easily prevention hypertension tachycardia anesthetic orotracheal intubation,Outcome (element O)
fall nt-probnp 6 month nt-probnp plasma levels compared patients,Outcome (element O)
eligible patients adults aged 18 chest pain discomfort 15 minutes duration occurred rest minimal exertion 24-hour period preceding hospitalization represented change usual anginal pattern,Population/Problem (element P)
induction continued amniotomy and/or oxytocin,Not Relevant to the Evidence (Label N)
drugs appeared appearances,Not Relevant to the Evidence (Label N)
mixed linear models sem time-related treatment heart rate beats min = 00213 time-related group-independent diastolic blood pressure mm hg = 00098 time-dependent increase cerebral tissue oxygenation % = 00439 cerebral intravascular oxygenation mol/l = 00177 time-dependent decrease cerebral fractional oxygen extraction % = 00311 group-dependent differences peripheral intravascular oxygenation mol/l = 00195,Outcome (element O)
prevalence graft occlusion cabg,Population/Problem (element P)
patients hf experiencing moderate-to-major depression risk physical function decline adverse outcomes including morbidity mortality,Outcome (element O)
summary data study consistent published studies at1 receptor antagonists provide preliminary data replacement therapy enalapril patients stable chronic chf telmisartan produce acute deterioration exercise tolerance symptomatology quality-of-life parameters,Outcome (element O)
secondary outcome measures time interval dose misoprostol vaginal delivery percentage women delivered vaginally 12 hours 24 hours labor induction incidence tachysystole nonreassuring fhr pattern rate women oxytocin percentage cesarean deliveries performed poor neonatal outcomes defined low apgar score 7 1 5 minutes admission neonatal intensive care unit,Intervention and Comparison (element I and C)
infants delivered 37 completed weeks gestation 33 55 hours time testing 7 8,Population/Problem (element P)
extra-amniotic foley catheter placement measurable benefits oral misoprostol vaginal dinoprostone,Outcome (element O)
randomisation stratied participating study designed detect difference 50% 70% primary patency 3 = hospital site distal anastomosis supra005 =02,Outcome (element O)
statistical analysis performed chi-square fisher exact test discontinuous variables parity mode delivery complications,Not Relevant to the Evidence (Label N)
difference rate normalization erythrocyte sedimentation rate acute-phase proteins 6-week follow-up,Outcome (element O)
conclusions pre-and perioperative iabc therapy offers efficient hemodynamic support high-risk opcab surgery lowers risk hemodynamic instability safe shortens icu hospital length stay cost-effective therapy,Outcome (element O)
patients allocated rehabilitation start 2 weeks leaving hospital offered 6-week package thrice-weekly sessions comprising 60-90 minutes supervised exercise combined 45 minutes education 12 occasions 45 minutes psychosocial counselling 6 occasions,Intervention and Comparison (element I and C)
consistent result study wing al,Not Relevant to the Evidence (Label N)
el paso ciudad juarez form largest border community us-mexico border,Not Relevant to the Evidence (Label N)
women live singleton fetus term 37-42 weeks gestation cephalic presentation reactive nonstress test nst prom bishop score 5 onset labor included study,Population/Problem (element P)
inclusion criteria residency city cr programs offered prociency english language written approval participate cr program patients cardiac specialist practitioner eligibility home-based cr low moderate risk adverse event exercise demonstrated lack complex ventricular dysrhythmia york heart association32 class 1-2 classication left ventricular ejection fraction 40% canadian cardiovascular society33 class 1-2 classication,Population/Problem (element P)
maternal demographic characteristics,Not Relevant to the Evidence (Label N)
entry 6 month follow-up patients underwent doppler-echocardiography cardiopulmonary exercise test completed questionnaire evaluation leisure time physical activity 18,Intervention and Comparison (element I and C)
propranolol dosage 16606 / / day lower target dose 2 / / day propranolol infants developed bradycardia dosages,Intervention and Comparison (element I and C)
logistic regression people intervention lower odds cardiovascular hospital admission 12-month period = 012 95% ci = 004037,Outcome (element O)
interventions weaning cardiopulmonary bypass 24-hr infusion 01 g/kg/min levosimendan 05 g/kg/min milrinone administered,Intervention and Comparison (element I and C)
patients methods postmenopausal women her2/hormone receptor-copositive mbc randomly assigned anastrozole 1 mg/d orally trastuzumab 4 mg/kg intravenous infusion day 1 2 mg/kg week progression,Intervention and Comparison (element I and C)
reasons nonparticipation trial listed figure 1 mental social defined conditions hr inadequate participation dementia alcohol abuse severe illness defined terminal illness comorbidity hr death 1 terminal cancer,Population/Problem (element P)
conclusion 1 operation gabapentin 800 blunted arterial pressure hr increase 10 min endotracheal intubation,Outcome (element O)
study investigators representing 130 sites enrolled 2831 patients 1571 randomized,Population/Problem (element P)
normal fetal heart tracing cervical bishops score 8 criteria inclusion,Population/Problem (element P)
log-rank test = 35,Not Relevant to the Evidence (Label N)
route delivery 2 treatment,Outcome (element O)
difference neonatal antibiotic administration persisted logistic regression analysis performed controlling maternal age meconium entry streptococci colonization interval rupture membranes randomization interval randomization induction maternal fever epidural,Intervention and Comparison (element I and C)
patients treated warfarin,Intervention and Comparison (element I and C)
key secondary endpoints components primary endpoint occurrence cardiac death urgent non-urgent pci lesions non-infarctrelated arteries,Outcome (element O)
direct cervix leading uterine contractility,Not Relevant to the Evidence (Label N)
patients methods 1992 1996 228 ak femoro-popliteal bypass grafts randomly allocated eptfe 114 dacron 114 vascular graft 6 mm diameter,Intervention and Comparison (element I and C)
patients lv ejection fraction 40% severe valvular disease coexisting cardiomyopathy screening echocardiogram excluded,Population/Problem (element P)
2 reporting period 3 11% grafts 2 p-exs 1 p-non-exs removed infection,Intervention and Comparison (element I and C)
infant cord artery ph 7 0 buffer base 31 5,Not Relevant to the Evidence (Label N)
baby 1-and 5-min apgar scores 9 10,Not Relevant to the Evidence (Label N)
objective compare efficacy safety ti-trated oral misoprostol vaginal misoprostol labor induction,Population/Problem (element P)
differences bone marrow treated bm control,Outcome (element O)
patients randomly allocated receive oropharyngeal instillation 5 2% lidocaine lidocaine 5 normal saline control 5 plastic syringe needle 45 induction bolus,Intervention and Comparison (element I and C)
analysis incidence tachysystole dose,Not Relevant to the Evidence (Label N)
patients sixty-two preterm neonates 28 36 weeks gestational age expected stay neonatal intensive care unit 2 blood sampling procedures major congenital anomalies grade iii iv intraventricular hemorrhage periventricular leukomalacia surgical interventions receiving parenteral analgesics sedatives 72 hours parental consent,Population/Problem (element P)
reduced lvef acute phase myocardial infarction independent predictor poor outcome era optimal reperfusion therapy stenting infarct-related artery,Outcome (element O)
decreases arterial iops modest clinically acceptable,Outcome (element O)
inductions carried inpatient basis,Not Relevant to the Evidence (Label N)
inclusion criteria infants 30 32 weeks gestational age ga postnatal days cared-for incubator mothers english speaking,Population/Problem (element P)
total 151 women completed study,Population/Problem (element P)
contrast kwon al,Not Relevant to the Evidence (Label N)
reason discontinuation recorded patients record,Not Relevant to the Evidence (Label N)
statistical significance considered b0 05,Not Relevant to the Evidence (Label N)
screening criteria age 18 -75 successful percutaneous coronary intervention pci bare metal stent implantation performed culprit lesion 24 onset symptoms lvef 50% assessed echocardiography,Population/Problem (element P)
18 months complex intervention aimed improving outcome patients coronary heart disease reductions hospital admissions improvements cholesterol concentration management blood pressure change mental physical health status,Outcome (element O)
stable coronary artery disease endothelial dysfunction plays major role pathogenesis exercise-induced angina pectoris 3,Population/Problem (element P)
enrolled 1587 women 18 age symptomatic heart failure 3 months sinus rhythm left ventricular ejection fraction 35%,Population/Problem (element P)
contractions inadequate augmentation active phase labour attempted hourly titrated oral misoprostol 1mg/ml solution escalating dose 5ml 10ml 20ml maximum,Intervention and Comparison (element I and C)
women satisfied care misoprostol 86 0% 63 4% = 02,Outcome (element O)
subject consent study envelope,Not Relevant to the Evidence (Label N)
study design ninety-nine patients indications labor induction randomly received 100 oral misoprostol 4 50 vaginal misoprostol 4 maximum doses,Intervention and Comparison (element I and C)
strong evidence regular pa contributes secondary prevention cardiovascular disease cardiovascular risk factor reduction,Outcome (element O)
medianfollow-upperiodwas721daysand 22 patients treatment lost follow-up figure 1,Population/Problem (element P)
bone marrow renal hepatic function meet criteria hemoglobin 10 g/dl blood transfusion previous 2 weeks neutrophil count 2 0 10 9 cells/l platelet count 100 10 9 cells/l evidence myelodysplastic syndrome abnormal bone marrow reserve creatinine 1 5 upper limit normal uln creatinine clearance 60 ml/ min total bilirubin 1 uln aspartate aminotransferase ast and/or alanine aminotransferase alt 2 5 uln alkaline phosphatase 5 uln patients ast and/or alt 1 5 uln concomitantly alkaline phosphatase 2 5 uln ineligible study,Population/Problem (element P)
4 months absolute improvement global left ventricular ejection fraction lvef bmc placebo sd increase 5 57 3% 3 06 5% = 0 01,Outcome (element O)
women randomised vaginal misoprostol tablet resident attending physician vaginal vault,Intervention and Comparison (element I and C)
randomly assigned 1010 women axillary-nodepositive high-risk nodenegative cancer receive cycles docetaxel vinorelbine cycles fluorouracil epirubicin cyclophosphamide,Intervention and Comparison (element I and C)
forty patients aged 59 2 9 5 7 women consecutively enrolled successful pci stent implantation randomized 2,Population/Problem (element P)
patients received 4 weeks hormonal therapy prior systemic therapy breast cancer prior anthracycline taxane malignancy,Population/Problem (element P)
main measure efficacy women delivering vaginally 24 hours dose prostaglandin,Intervention and Comparison (element I and C)
avoid bias assessing hyperstimulation cardiotocograms reviewed obstetrician blinded study,Not Relevant to the Evidence (Label N)
patients underwent bone marrow aspiration 3 6 days receiving reperfusion therapy acute myocardial infarction,Intervention and Comparison (element I and C)
primary patency rates 6 months 864% fusion bioline heparin-coated vascular graft compared 700% standard eptfe difference 164% 95% condence interval 27%-299% 006 respective rates 12 months 765% 670% 95% condence interval l48% 230% 05,Outcome (element O)
